2MASSID,RA,DEC,S/N,Vr,Teff,Logg,[Fe/H],[Alpha/Fe],Chi^2,[K/Fe],[K/Fe] Error,[Na/Fe],[Na/Fe],[K/Fe] Error,[Na/Fe] Error
-,[deg],[deg],-,[km/s],[K],log10(g [cm^-2]),[dex],[dex],-,[dex],[dex],[dex],[dex],[dex],[dex]
J050606.74+494925.0,76.5281,49.8236,25,-28.78,4857,2.5,-0.25,0.12,0.34,1.17,0.21,-0.17,0.2,0.05,0
J050740.59+492955.0,76.9191,49.4986,15,18.29,3879,0.96,-0.72,0.06,0.54,0.75,8.28,0.51,0.2,8.28,0.03
J051046.05+523848.3,77.6919,52.6468,47,-46.17,4697,2.61,-0.34,0.26,1.03,1,7.74,0.81,0.2,7.74,0.03
J052516.26+585912.5,81.3178,58.9868,19,-75.07,4023,1.5,-0.22,0.05,0.51,1,0.2,0.55,0.2,0.01,0.03
J052643.65+354130.3,81.6819,35.6918,9,-18.89,4914,2.73,-0.09,0.03,0.28,1,0.2,-0.03,0.2,0.04,0
J052814.58+511912.4,82.0608,51.3201,16,-64.76,4344,1.95,-0.06,0.1,0.51,1.02,0.2,-0.12,0.2,0.02,0
J052924.25+494319.7,82.3511,49.7221,94,-22.48,5087,3.12,-0.35,0.11,0.7,1,0.21,-0.07,0.2,0.05,0
J053123.26+421952.0,82.8469,42.3311,8,41.07,4785,2.59,-0.26,0.01,0.26,1,0.28,-0.09,0.2,0.19,0
J053148.24+225045.6,82.9510,22.8460,15,11.69,3982,0.71,-0.84,0.08,0.63,1.08,0.2,0.75,0.22,0.03,0.1
J053423.46+460026.9,83.5978,46.0075,21,-40.77,4893,2.73,-0.18,0.1,0.26,1.1,0.21,0.87,0.2,0.07,0.04
J053627.38+581132.8,84.1141,58.1924,28,-32.94,4457,2.52,0.28,0.05,0.49,0.82,0.21,-0.19,0.2,0.05,0
J053942.83+383727.8,84.9285,38.6244,18,-85.74,4979,2.26,-0.66,0.23,0.27,1.22,0.22,0.81,0.21,0.09,0.07
J054656.93+442800.0,86.7372,44.4667,17,-41.37,4758,2.51,-0.27,0.09,0.15,1.02,0.23,-0.05,0.2,0.11,0
J055043.44+162021.2,87.6810,16.3392,24,83.64,4587,2.49,0.21,0.07,0.28,1.06,0.2,1.19,0.23,0.04,0.12
J055227.43+181628.0,88.1143,18.2745,28,8.09,5388,3.8,-0.17,0.05,0.43,1.1,0.23,-0.03,0.2,0.11,0
J055704.30+215000.1,89.2679,21.8334,9,49.77,4691,2.94,0.37,0,0.3,0.84,0.22,-0.09,0.2,0.1,0
J055908.72+210037.7,89.7864,21.0105,6,55.76,4325,1.99,-0.1,-0.03,0.75,1.04,0.2,-0.17,0.2,0.02,0
J055935.08+150252.1,89.8962,15.0478,23,90.84,4487,2.15,-0.68,0.01,4.35,1.21,0.21,0.78,0.2,0.05,0.03
J060142.80+132321.4,90.4284,13.3893,45,33.28,4858,2.57,-0.3,0.1,0.24,0.66,0.37,-0.11,0.2,0.31,0
J061144.17-040845.1,92.9341,-4.1459,23,84.54,4709,2.77,-0.42,0,0.24,1.05,0.22,0.76,0.2,0.08,0.03
J061228.04-040304.1,93.1169,-4.0512,16,-1.5,4928,3.24,-0.56,0.09,0.19,1.02,0.25,-0.06,0.2,0.15,0
J061323.14+325543.0,93.3464,32.9286,39,-25.78,4861,2.51,-0.4,0.16,0.42,1,8.96,0.55,0.21,8.96,0.07
J061427.58+331544.3,93.6149,33.2623,51,3.3,4468,1.87,-0.41,0.11,0.67,0.93,0.2,-0.02,0.2,0.04,0
J061808.85+313338.2,94.5369,31.5606,12,42.57,4970,3.03,-0.15,0.1,0.55,0.91,0.22,-0.01,0.2,0.09,0
J062128.63+343545.8,95.3693,34.5961,39,33.28,4831,2.58,-0.23,0.08,0.27,0.65,0.28,0.84,0.21,0.2,0.07
J063113.14+015900.3,97.8048,1.9834,14,78.55,4879,2.34,-0.13,0.01,0.56,1.07,0.2,-0.01,0.2,0.03,0
J063501.25+134744.6,98.7552,13.7957,7,47.67,4612,2.33,-0.4,0.01,0.19,0.95,0.32,0.61,0.54,0.25,0.5
J063648.82+130723.3,99.2034,13.1232,8,85.74,4925,2.93,-0.57,-0.03,0.19,1.19,0.24,0.77,0.26,0.14,0.16
J063719.82+185602.6,99.3326,18.9341,5,15.29,5075,2.94,-0.12,0.03,0.1,1.05,0.28,-0.1,0.2,0.19,0
J063908.57+381728.0,99.7857,38.2911,5,25.78,4853,2.73,-0.52,0.02,0.17,1.12,0.31,1,0.22,0.24,0.08
J064032.35+335207.5,100.1348,33.8688,8,-34.48,4717,2.28,-0.44,0.24,0.24,1.07,0.23,0.82,0.22,0.11,0.09
J064132.46+580400.9,100.3853,58.0669,24,-11.69,5285,3.74,-0.06,0.07,0.36,1.06,0.25,0.26,0.97,0.15,0.95
J064430.22+341606.3,101.1259,34.2684,9,-40.17,4809,3.26,0.36,0.19,0.31,0.84,0.31,-0.2,0.2,0.24,0
J064618.82+050545.8,101.5784,5.0961,9,85.74,4772,2.66,-0.49,-0.01,0.28,1.1,0.21,-0.22,0.2,0.07,0
J065334.23+131639.7,103.3927,13.2777,7,179.88,4896,2.61,-0.71,0.02,0.18,1.14,0.26,-0.14,0.2,0.16,0
J065356.76+344513.1,103.4865,34.7537,21,-23.38,4533,2.46,0,0.15,0.28,0.89,0.23,-0.03,0.2,0.12,0
J065857.80+081714.8,104.7409,8.2875,12,26.68,5070,3.3,-0.61,0.1,0.18,1.08,0.28,-0.02,0.2,0.2,0
J070524.04+120351.0,106.3502,12.0642,19,60.26,4754,2.64,-0.56,-0.02,0.24,1.1,0.25,-0.05,0.2,0.15,0
J072156.18+225405.3,110.4841,22.9015,101,-46.77,4840,2.54,-0.33,0.17,0.69,0.95,0.2,-0.07,0.2,0.03,0
J072912.52+073436.9,112.3022,7.5769,9,117.52,4835,3.18,-0.44,0.33,0.34,1.06,0.21,-0.13,0.2,0.06,0
J073641.12+164710.6,114.1714,16.7863,6,90.84,4621,2.17,-0.77,0.01,0.26,1.13,0.24,-0.04,0.2,0.14,0
J074146.65+145330.5,115.4444,14.8918,6,105.53,4701,2,-0.71,0.04,0.18,1.15,0.3,-0.24,0.2,0.22,0
J074807.22+261514.2,117.0301,26.2540,16,-32.98,4846,2.69,-0.23,0.05,0.16,1.04,0.26,-0.12,0.2,0.16,0
J074848.57+210655.5,117.2024,21.1154,9,101.33,4447,2.25,-0.52,0.04,0.11,1.09,0.22,-0.13,0.2,0.09,0
J075043.12+204658.0,117.6797,20.7828,47,52.46,4795,2.53,-0.47,0.06,0.4,1.11,0.21,-0.08,0.2,0.05,0
J075129.58+024136.9,117.8733,2.6936,18,128.61,4741,2.39,-0.61,0.05,0.28,1.07,0.22,-0.07,0.2,0.1,0
J091825.49+172114.5,139.6062,17.3540,11,232.04,4898,2.71,-1.19,0.29,0.14,1.3,0.23,-0.09,0.2,0.12,0
J092124.00+204559.5,140.3500,20.7665,12,125.31,4570,2.28,-0.71,0.06,0.31,1.05,0.21,-0.1,0.2,0.07,0
J100054.32+185535.5,150.2263,18.9265,17,149,4373,2.3,0.01,0.01,0.39,0.99,0.22,-0.08,0.2,0.09,0
J102104.26+105617.4,155.2678,10.9382,17,171.48,4526,1.88,-1.09,0.07,0.28,1.2,0.22,-0.13,0.2,0.08,0
J104800.91+424311.0,162.0038,42.7197,6,163.99,5050,2.75,-1.29,0.12,0.18,1.3,0.22,-0.01,0.2,0.09,0
J111022.65+171251.0,167.5944,17.2142,12,247.33,4524,1.92,-1.3,0.13,0.3,1.31,0.2,-0.03,0.2,0.04,0
J111550.58+104203.9,168.9608,10.7011,9,114.82,4519,1.72,-1.41,0.32,0.17,1.32,0.21,-0.25,0.2,0.06,0
J111651.71+253038.5,169.2155,25.5107,6,102.83,4658,2.9,-0.5,0.02,0.08,1.15,0.3,-0.06,0.2,0.22,0
J112309.75+261255.9,170.7906,26.2156,3,113.02,4273,1.13,-1.35,0.17,0.09,1.28,0.24,-0.01,0.2,0.14,0
J120032.60+024438.2,180.1359,2.7439,97,166.98,4633,2.33,-0.93,0.26,0.89,1.13,0.2,-0.19,0.2,0.02,0
J120844.42-012151.8,182.1851,-1.3644,18,143.3,4783,2.28,-0.84,0.28,0.48,1.19,0.24,-0.22,0.2,0.13,0
J123413.43+160353.7,188.5560,16.0649,10,316.88,4734,2.63,-0.99,0.03,0.17,1.28,0.21,-0.13,0.2,0.07,0
J163910.01+100545.3,249.7917,10.0959,39,123.81,4663,2.46,-0.58,0.03,0.61,1.08,0.2,-0.08,0.2,0.03,0
J175211.80+273546.6,268.0492,27.5963,7,-33.58,5489,3.71,-0.03,0.14,0.15,1.04,0.28,-0.21,0.2,0.19,0
