[Mg/Fe],[K/Fe]
-0.3,0.22
-0.2,0.25
-0.12,0.14
-0.099,0.23
0.18,-0.07
0.27,-0.08
0.31,-0.04
0.34,0.041
0.34,0.021
0.36,-0.02
0.36,-0.059
0.38,0.03
0.39,0.02
0.4,-0.08
